,Unnamed: 0,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id,t
0,20180102T102421_20180102T102420_T32UPA,3312.9748201438847,32.460431654676256,1107.9604316546763,931.3920863309352,2574.248201438849,2037.6258992805765,2016.496402877698,2223.4820143884895,2602.388489208633,2767.895683453238,2499.262589928058,2917.406474820144,1114.6474820143885,0.0,0.0,1024.0,2018-01-02,841,78251661,0.005479452054794521
1,20180107T102359_20180107T102401_T32UPA,5086.910071942448,138.8453237410072,2840.5251798561158,2113.219424460432,4593.226618705036,3848.258992805757,4102.917266187051,4056.2553956834536,4167.960431654677,4333.169064748202,3934.1582733812957,4396.1834532374105,1326.561151079137,0.0,0.0,1024.0,2018-01-07,841,78251661,0.019178082191780823
2,20180112T102401_20180112T102630_T32UPA,6091.38489208633,100.35971223021583,4244.453237410072,3158.212230215828,5657.920863309354,4932.805755395684,5521.996402877698,5744.81654676259,5892.226618705035,6043.913669064748,5557.273381294965,6070.5395683453235,3107.888489208633,0.0,0.0,1024.0,2018-01-12,841,78251661,0.03287671232876712
3,20180117T102339_20180117T102341_T32UPA,5597.01438848921,1071.359712230216,1882.474820143885,1777.859712230216,5354.992805755396,4592.8453237410085,5065.931654676259,5286.658273381296,5486.237410071943,5588.115107913671,5422.636690647482,5650.877697841726,3136.679856115109,0.0,0.0,1024.0,2018-01-17,841,78251661,0.04657534246575343
4,20180122T102321_20180122T102323_T32UPA,6217.913669064748,609.3812949640288,2180.967625899281,1592.2805755395684,5857.510791366907,5152.820143884892,5594.298561151079,5702.420863309353,5839.0395683453235,6020.888489208634,5639.748201438849,6119.676258992807,2730.827338129497,0.0,0.0,1024.0,2018-01-22,841,78251661,0.06027397260273973
5,20180127T102259_20180127T102314_T32UPA,3307.2302158273383,25.25539568345324,1721.7841726618708,1374.5503597122306,2773.241007194245,2166.467625899281,2042.8776978417268,2082.723021582734,2239.478417266187,2330.636690647482,2264.769784172662,2341.208633093525,997.902877697842,0.0,0.0,1024.0,2018-01-27,841,78251661,0.07397260273972603
6,20180201T102241_20180201T102237_T32UPA,6873.744604316546,2790.733812949641,3002.6366906474827,3203.154676258993,6537.3633093525195,5786.043165467627,6315.410071942448,6633.996402877698,6773.341726618706,6894.776978417267,6783.712230215829,6964.870503597122,5766.737410071944,0.0,0.0,1024.0,2018-02-01,841,78251661,0.08767123287671233
7,20180206T102209_20180206T102206_T32UPA,4140.298561151079,399.50359712230215,1486.1978417266193,1356.3812949640287,3938.104316546764,3446.4316546762598,3654.942446043165,3805.8489208633114,4093.043165467626,4218.953237410072,4061.039568345325,4298.028776978418,1952.241007194245,0.0,0.0,1024.0,2018-02-06,841,78251661,0.10136986301369863
8,20180211T102141_20180211T102559_T32UPA,5252.6654676259,48.489208633093526,2507.298561151079,1678.5467625899282,4857.874100719425,4295.0935251798555,4631.305755395684,4834.852517985612,5123.413669064749,5340.5323741007205,5050.143884892087,5463.194244604317,2462.845323741008,0.0,0.0,1024.0,2018-02-11,841,78251661,0.11506849315068493
9,20180216T102059_20180216T102601_T32UPA,6552.8093525179875,67.9748201438849,6771.31654676259,5833.266187050362,6735.291366906476,6223.061151079137,7022.032374100721,7311.3453237410085,7562.276978417267,7776.093525179857,7694.974820143887,8034.086330935253,3747.3309352517986,0.0,0.0,1024.0,2018-02-16,841,78251661,0.12876712328767123
10,20180221T102031_20180221T102033_T32UPA,1521.5395683453241,21.539568345323744,1735.5287769784175,929.4856115107913,1159.201438848921,1035.8489208633093,835.0251798561153,1437.4856115107916,2563.888489208633,2936.564748201439,3079.964028776979,3333.5251798561158,1767.223021582734,0.0,0.0,0.0,2018-02-21,841,78251661,0.14246575342465753
